depositor_address,glm_locked_balance
0x9e831b58001e2b69f70c892e4f8ce9d2118b7e00,9.4501e+07
0x2383a8b8cc8561a65871f1d2783b7c52e22b62c1,1.5e+07
0x25854e2a49a6cdaec7f0505b4179834509038549,7.238214581846097e+06
0xda08be028304db1a73a13bce7c943127c2e393db,5.122680031652346e+06
0xf517529866d371f04780885923f739bc17694bfb,3.65e+06
0x3352a3277d2b74a773fa6e68a625fcb18e4fc282,3.4799999999999995e+06
0x93b109c3c279bcbbb673ed1ae1a8bb2de8eef9da,3.2699901772999996e+06
0xebf0e04e47f726d0f44801dfec5e705adcd6694b,2.0403313882023413e+06
0xe70055e9575f15a6f51f3068901d73ac63952adf,1.98096937721831e+06
0x4aa51a723882ee676fec444d4561c5ee16c339e9,1.7948532046338199e+06
0x51c1c7f1e168a36bf1fabfd91e98b43476a6b14d,1.29e+06
0x150bb505a9259b0be44ffb15415c79199e83c445,1.1999999999999998e+06
0x31d23825afbda5b6b1690bbdbbb8117b5ea0f8e4,1.099988e+06
0x01b7348ec3fb20ab1f40b97cc82df44aed360768,1.0786848569e+06
0x1b243d42f53924118646efaec5b3f6116b563960,1.0212851431e+06
0xbf4c0104dbfb028f3484cfac17bb22aa15e5c7e2,999991.12437706
0xcc3b817d4aba7698eaafb4c68e7688cf61b0bf46,863100
0xacc5c1e73d70f7f9622de2d574885ce8e6981033,849900
0xeb5e0b8e80fce271c13f533fa728d7bb03cafa4c,832850
0x572e1b86471c900cd16afa9cbb7701862d0e70cb,804014.00000001
0x9705fe3586a7d768fee061aafe9384b1d4b8f2d8,500000
0x5f319ca6ecf072a4d183edaa711cd04dc225df19,410083.87997699
0xfdd210ce1b829e837d9e034dae0f0312f176cef6,400000
0x731022d6de647991864203a35dfad1a192240d07,399988
0x51b9c1df35b044b5c0099d1fd07eab7ce38f325d,375580.528648144
0x5f0bd06a71e038206ef3e5090eb448e9a9773772,363873.1695222635
0x3df13b9bd79158f0cccddd0833cf774178e3d2e9,300202.36008238175
0x8d0cd1ab81eada4f92c7cb5c8dbc25c69cc296ad,287500
0xa392ccadabff735dbff69dc93d7c13f34a30611b,250000
0x84b5a60df2d7e3397b3a4a3c6282f090304aca26,224999.94858876822
0x84f0620a547a4d14a7987770c4f5c25d488d6335,150000
0x72f434fa010929656aef58695dab85447e51fbc6,128750
0x81a6383041593c556d1c8e69e2749b35b5008f09,120000
0x3085051f89666e7124e7ab95b693fc1e09770907,99999.99999999999
0x981e7512e87d2f7228d3f03b65950eb6a1b21bac,99999.99999999999
0x83c98211c50480e457a0df930d2a56a891bc4d4b,99999.99999999999
0x6f219bd1167568ab67494a9067cbbb5679bf0022,93907.09627638449
0x9ff548c1b3ea3dd123afe39c759dda548009b6c8,92238.09756710463
0x7dbf6820d32cfbd5d656bf9bff0def229b37cf0e,91139.24696424734
0x1078daa844cdf1edb51e5189c8b113b80a6a6957,87499.99999999999
0xf572c9b11e757d3580c7c7310630cd488e8ea736,62499.99999999999
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,60000
0xebb89afc683961a31ca565cef684d7b488bb1576,57338.635352577825
0xb3a23e56cb62ff06186afbd5f68de2bd1cd3f5b3,46766.36199066001
0xe0d8926a51f9a1dd8e089d9a3dd88f88ffb2f1dc,46024.002709884175
0xb1fb86e3651f68aee7b7d8bf969f301771f4fc66,44021.256563356095
0x5c0e777dc8f3de6b0911b44dbbdd8bf71b2e8e38,35949.05206531
